from,to,type,details
layout_Account-Account_Sales_Layout,field_Account_AnnualRevenue,DISPLAYS_FIELD,Field AnnualRevenue is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_SLA__c,DISPLAYS_FIELD,Field SLA__c is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Active__c,DISPLAYS_FIELD,Field Active__c is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_OwnerId,DISPLAYS_FIELD,Field OwnerId is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_NumberofLocations__c,DISPLAYS_FIELD,Field NumberofLocations__c is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Ownership,DISPLAYS_FIELD,Field Ownership is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_SLASerialNumber__c,DISPLAYS_FIELD,Field SLASerialNumber__c is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_CustomerPriority__c,DISPLAYS_FIELD,Field CustomerPriority__c is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Fax,DISPLAYS_FIELD,Field Fax is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Name,DISPLAYS_FIELD,Field Name is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_LastModifiedById,DISPLAYS_FIELD,Field LastModifiedById is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_SLAExpirationDate__c,DISPLAYS_FIELD,Field SLAExpirationDate__c is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Description,DISPLAYS_FIELD,Field Description is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Website,DISPLAYS_FIELD,Field Website is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_NumberOfEmployees,DISPLAYS_FIELD,Field NumberOfEmployees is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Site,DISPLAYS_FIELD,Field Site is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Industry,DISPLAYS_FIELD,Field Industry is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Rating,DISPLAYS_FIELD,Field Rating is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_CreatedById,DISPLAYS_FIELD,Field CreatedById is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Sic,DISPLAYS_FIELD,Field Sic is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_ShippingAddress,DISPLAYS_FIELD,Field ShippingAddress is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_AccountNumber,DISPLAYS_FIELD,Field AccountNumber is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_UpsellOpportunity__c,DISPLAYS_FIELD,Field UpsellOpportunity__c is displayed on layout
layout_Account-Account_Sales_Layout,field_Account_Phone,DISPLAYS_FIELD,Field Phone is displayed on layout
object_Account,layout_Account-Account_Support_Layout,HAS_LAYOUT,Layout displays 28 fields
layout_Account-Account_Support_Layout,field_Account_TickerSymbol,DISPLAYS_FIELD,Field TickerSymbol is displayed on layout
layout_Account-Account_Support_Layout,field_Account_ParentId,DISPLAYS_FIELD,Field ParentId is displayed on layout
layout_Account-Account_Support_Layout,field_Account_BillingAddress,DISPLAYS_FIELD,Field BillingAddress is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Type,DISPLAYS_FIELD,Field Type is displayed on layout
layout_Account-Account_Support_Layout,field_Account_AnnualRevenue,DISPLAYS_FIELD,Field AnnualRevenue is displayed on layout
layout_Account-Account_Support_Layout,field_Account_SLA__c,DISPLAYS_FIELD,Field SLA__c is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Active__c,DISPLAYS_FIELD,Field Active__c is displayed on layout
layout_Account-Account_Support_Layout,field_Account_OwnerId,DISPLAYS_FIELD,Field OwnerId is displayed on layout
layout_Account-Account_Support_Layout,field_Account_NumberofLocations__c,DISPLAYS_FIELD,Field NumberofLocations__c is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Ownership,DISPLAYS_FIELD,Field Ownership is displayed on layout
layout_Account-Account_Support_Layout,field_Account_SLASerialNumber__c,DISPLAYS_FIELD,Field SLASerialNumber__c is displayed on layout
layout_Account-Account_Support_Layout,field_Account_CustomerPriority__c,DISPLAYS_FIELD,Field CustomerPriority__c is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Fax,DISPLAYS_FIELD,Field Fax is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Name,DISPLAYS_FIELD,Field Name is displayed on layout
layout_Account-Account_Support_Layout,field_Account_LastModifiedById,DISPLAYS_FIELD,Field LastModifiedById is displayed on layout
layout_Account-Account_Support_Layout,field_Account_SLAExpirationDate__c,DISPLAYS_FIELD,Field SLAExpirationDate__c is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Description,DISPLAYS_FIELD,Field Description is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Website,DISPLAYS_FIELD,Field Website is displayed on layout
layout_Account-Account_Support_Layout,field_Account_NumberOfEmployees,DISPLAYS_FIELD,Field NumberOfEmployees is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Site,DISPLAYS_FIELD,Field Site is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Industry,DISPLAYS_FIELD,Field Industry is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Rating,DISPLAYS_FIELD,Field Rating is displayed on layout
layout_Account-Account_Support_Layout,field_Account_CreatedById,DISPLAYS_FIELD,Field CreatedById is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Sic,DISPLAYS_FIELD,Field Sic is displayed on layout
layout_Account-Account_Support_Layout,field_Account_ShippingAddress,DISPLAYS_FIELD,Field ShippingAddress is displayed on layout
layout_Account-Account_Support_Layout,field_Account_AccountNumber,DISPLAYS_FIELD,Field AccountNumber is displayed on layout
layout_Account-Account_Support_Layout,field_Account_UpsellOpportunity__c,DISPLAYS_FIELD,Field UpsellOpportunity__c is displayed on layout
layout_Account-Account_Support_Layout,field_Account_Phone,DISPLAYS_FIELD,Field Phone is displayed on layout
object_Account,layout_Account-Account_Layout,HAS_LAYOUT,Layout displays 28 fields
